illegitimate,a.不合法的；私生的
illicit,a.違法的
illiterate,a.文盲的
illuminate,v.闡明，解釋；照亮
illuminati,n.先覺者，智者
illusion,n.假象，錯覺
illusive,a.迷惑人的，迷幻的
illusory,a.虛幻的
illustrate,v.為…作插圖或圖表；說明，闡明
imbibe,v.飲；吸入
imbroglio,n.糾紛，糾葛
imbue,v.灌輸(某人)強烈的情感或意見
imitation,n.贋品；效法，冒充
imitative,a.模仿的
immaculate,a.潔淨的，無瑕的
immanent,a.內在的；普遍存在的
immemorial,a.太古的，極古的
immense,a.極大的；無限的
immensity,n.巨大之物；無限
immerse,v.浸入；沈浸於
imminent,a.即將發生的，逼近的
immolate,v.犧牲，焚祭
immune,a.免疫的；免除的
immunity,n.免疫；豁免
immunize,v.使免疫
immure,v.監禁
imp,n.小鬼；頑童
impact,n.衝擊，影響
impair,v.損害，使弱
impale,v.刺入，刺中
impalpable,a.無法觸及的；不易理解的
impart,v.傳授，告知
impartial,a.公平的，無私的
impasse,n.僵局；死路
impassioned,a.慷慨激昂的
impassive,a.無動於衷的，冷漠的
impeach,v.指責；彈劾
impeccable,a.無瑕疵的
impecunious,a.不名一文的，貧困的
impede,v.妨礙
impediment,n.妨礙，阻礙物
impel,v.推進；驅使
impending,a.行將發生的，逼近的
impenetrable,a.不能穿透的；不可理解的
impenitent,a.不悔悟的
imperative,a.急需的
imperial,a.帝王的，至尊的
imperious,a.傲慢的，專橫的
impermanent,a.暫時的
impermeability,n.不能滲透
impermeable,a.不可滲透的，透不過的
impersonate,v.模仿；扮演
impertinence,n.無禮，粗魯
imperturbable,a.冷靜的，沈著的
impervious,a.不能滲透的；不為所動的
impetuous,a.衝動的，魯莽的
impetus,n.推動力；刺激
impinge,v.侵犯；撞擊
implant,v.注入；灌輸
implausible,a.難以置信的
implement,n.工具，器具；v.實現，實施
implicate,v.牽連(於罪行中)
implication,n.暗示
implicit,a.含蓄的，不言而喻的
implode,v.內爆；劇減
implore,v.哀求，懇求
impolitic,a.不智的，失策的
imponderable,a.(重量等)無法衡量的
import,n./v.進口，輸入；意義
importune,v.強求，不斷請求
impose,v.徵稅；強加
imposing,a.壯麗的，雄偉的
impostor,n.冒充者，騙子
imposture,n.冒充
impoverish,v.使成赤貧
imprecise,a.不精確的，不嚴密的
impregnable,a.攻不破的，征服不了的
impresario,n.(劇院或樂團等)經理人，主辦者
impressed,a.被打動的；被感動的
impression,n.印象，感想；蓋印，壓痕
impressionable,a.易受影響的
imprint,v.蓋印，刻印
impromptu,a.即席的，即興的
improvident,a.無遠見的，不節儉的
improvise,v.即席而作
improvised,a.臨時準備的，即席而作的
imprudent,a.輕率的；不智的
impudent,a.魯莽的，無禮的
impugn,v.指責，對…表示懷疑
impuissance,n.無力，虛弱
impulse,n.衝動；刺激
impulsive,a.易衝動的
impunity,n.免除懲罰
inadvertence,n.漫不經心
inadvertently,adv.不小心地，非故意地
inalienable,a.不可剝奪的
inane,a.無意義的；空洞的
inanimate,a.無生命的
inappreciable,a.微不足道的
inaugural,a.就職的，開幕的
inaugurate,v.舉行就職典禮；開創
inborn,a.天生的，天賦的
incandescence,n.白熾，熾熱發光
incantation,n.咒語
incarcerate,v.下獄，監禁
incarnate,a.具有肉體的；化身的
incendiary,a.放火的，縱火的
incense,n.香，香味；v.激怒
incentive,n.刺激，鼓勵；刺激因素
inception,n.開端，開始；取得學位
incessant,a.無間斷的，連續的
inch,v.慢慢前進，慢慢移動
inchoate,a.剛開始的；未發展的
incidence,n.事情發生；發生率
incinerate,v.焚化，毀棄
incipient,a.初期的，剛出現的
incise,v.切，切割
incision,n.切口；切割
incisive,a.一針見血的
incite,v.激發，刺激
inclement,a.(天氣)嚴酷的；嚴厲的
inclusive,a.包含一切的，範圍廣的
incogitant,a.無思想的，考慮不周的
incommensurate,a.不成比例的，不相稱的
incompatible,a.不能和諧共存的
incompetent,a.無能力的，不能勝任的
incongruity,n.不協調，不相稱
inconsequential,a.不重要的，微不足道的
inconstancy,n.(指人)反復無常
incontrovertible,a.無可辯駁的
incorporate,v.合併，併入
incorrigibility,n.無可救藥
incorrigible,a.積習難改的，不可救藥的
incorruptible,a.(道德上)不受腐蝕的
incredulity,n.懷疑，不相信
increment,n.增值，增加
incriminate,v.連累，牽連
incubate,v.孵化
incubation,n.孵卵期；潛伏期
incubator,n.孵卵器；早產嬰兒保育箱
incubus,n.惡夢；夢魘般的精神壓力，負擔
inculcate,v.灌輸，諄諄教誨
inculpate,v.連累；控告；歸咎於
incumbent,n.在職者，現任者；a.義不容辭的
incur,v.招惹
indebted,a.感激的，感恩的
indecipherable,a.無法破譯的
indecisive,a.非決定性的，遲疑不決的
indefatigable,a.不知疲倦的
indelible,a.擦拭不掉的，不可磨滅的
indemnify,v.賠償，償付
indemnity,n.賠償；保證
indent,v.切割成鋸齒狀
indenture,n.契約，合同
indeterminate,a.不確定的，不明確的
indicate,v.顯示，指出；象徵
indicative,a.暗示的
indices,n.指數
indict,v.控訴，起訴
indifferent,a.不感興趣的，漠不關心的
indigence,n.貧窮
indigenous,a.土產的，本地的
indigent,a.貧窮的，貧困的
indignant,a.憤慨的，憤憤不平的
indignation,n.憤慨
indignity,n.侮辱，輕蔑；侮辱性的言行
indispensability,n.不可缺少
individual,a.單獨的，特有的；n.個人，個體
indoctrinate,v.教導；灌輸思想
indolent,a.懶惰的
indubitable,a.不容置疑的
induce,v.誘導；引起
induct,v.使就職；使入伍
induction,n.就職，入伍儀式；歸納
indulge,v.放縱；滿足
indurate,v.使堅硬；使習慣於
industrious,a.勤勞的，勤勉的
ineffable,a.妙不可言的
ineffectual,a.無效的，徒勞無益的
inelasticity,n.無彈性，無伸縮性
ineluctable,a.不能逃避的
inept,a.無能的；不適當的
ineptitude,n.無能，不稱職
inequity,n.不公正，不公平
inert,a.惰性的；行動遲鈍的
inertia,n.惰性；懶惰
inexhaustible,a.用不完的，取之不竭的
inexorable,a.不為所動的；堅決不變的
inexplicable,a.無法解釋的
infant,n.嬰兒
infantile,a.幼稚的，孩子氣的
infantry,n.步兵
infatuation,n.迷戀
infection,n.傳染，感染
infelicitous,a.不幸的，不妥當的
infelicity,n.不幸；不恰當
infer,v.推斷，推定
inferior,a.下級的，低等的，質次的，較差的
inferno,n.火海，地獄般的場所
infest,v.騷擾，擾亂
infiltrate,v.滲透，滲入
infinitesimal,a.極微小的；n.極小量
infinity,n.無限的時間或空間
infirm,a.虛弱的
inflame,v.使燃燒；激怒(某人)
inflamed,a.發炎的
inflammation,n.激怒；熾熱；炎症
inflate,v.使充氣，使膨脹
inflict,v.遭受
influx,n.注入，湧入
informed,a.見多識廣的；消息靈通的
infraction,n.違法
infringe,v.違反，侵害
infuriate,v.使(人)極為憤怒
infuse,v.灌輸；鼓勵
ingenious,a.聰明的，有發明天才的
ingénue,n.天真無邪的少女
ingenuity,n.巧思，聰敏
ingenuous,a.純樸的，單純的
ingest,v.咽下，吞下
ingestion,n.攝取，吸收；容納
ingrained,a.根深蒂固的
ingrate,n.忘恩負義的人
ingratiate,v.逢迎，討好
ingratiating,a.討好的，諂媚的
ingredient,n.成分
inhabit,v.棲居於，佔據
inhabitant,n.居民；棲息的動物
inhale,v.吸氣
inherit,v.繼承
inhibit,v.抑制
inhibitor,n.抑制劑
inhumane,a.不近人情的
inimical,a.敵意的，不友善的
inimitable,a.無法仿效的，不可比擬的
iniquitous,a.邪惡的，不公正的
iniquity,n.邪惡，不公正
initial,a.開始的，最初的；n.(姓名的)首字母
initiate,v.發起，創始；接納或介紹某人加入某團體等
initiative,n.主動；首創精神
injection,n.注射；注射劑
injunction,n.命令，強制令
injurious,a.有害的
inkling,n.暗示，跡象；略知，模糊概念
innate,a.生來的，天賦的
innocence,n.無辜，清白
innocuous,a.(行為，言論等)無害的
innovation,n.創新，改革
innovative,a.革新的
innuendo,n.含沙射影，暗諷
inoculate,v.預防注射
inordinate,a.過度的，過分的
inquiry,n.詢問
inquisitive,a.過分好問的；好奇的
inroad,n.突襲；消耗
insatiable,a.不能滿足的，貪心的
inscribe,v.在某物上寫，題
inscrutable,a.高深莫測的，神秘的
insecticide,n.殺蟲劑
insensate,a.無感覺的；蠢笨的
insentient,a.無知覺的，無生命的
insert,v.插入
insider,n.局內人，圈內人
insidious,a.隱藏詭計的
insignia,n.徽章，袖章
insincerity,n.偽善
insinuate,v.暗指，暗示
insipid,a.乏味的，枯燥的
insolence,n.傲慢，無禮
insolent,a.粗野的，無禮的
insoluble,a.不溶解的；不能解決的
insolvency,n.無力償還；破產
insomnia,n.失眠症
insouciant,a.漫不經心的
inspection,n.檢查，細看
inspiration,n.啓示，靈感
inspired,a.有創見的，有靈感的
install,v.安裝，裝置；使就職
instantaneous,a.立即的；瞬間發生的
instate,v.任命，安置
instigate,v.發起，煽動
instill,v.滴注；逐漸灌輸
instinctive,a.本能的
institute,v.制定，創立(社團，規章)；n.學院，協會
institution,n.公共機構，協會；制度
institutionalized,a.制度化的，有組織的
instructive,a.傳授知識的，啓蒙的
instrumental,a.有幫助的，有作用的
instrumentalist,n.樂器演奏者
insubordinate,a.不服從的，反抗的
insubstantial,a.非實體的；薄弱的
insufficient,a.不足的
insular,a.島嶼的；心胸狹窄的
insularity,n.島國狀態，島嶼生活狀況，與外界隔絕的生活狀況；(思想, 觀點等的)偏狹，性僵化
insulate,v.使絕緣；使隔離
insulin,n.胰島素
insurgent,a.叛亂的，起事的；n.叛亂分子
insurrection,n.造反，叛亂
intact,a.完整的，未動過的
intangibility,n.無形，不可接觸
intangible,a.不可觸摸的
integral,a.構成整體所必需的；完整的
integrate,v.使成整體
integrity,n.正直，誠實；完整
intellect,n.智力，思維能力
intellectual,a.智力的，理智的；n.知識分子
intelligible,a.可瞭解的，清晰的
intensify,v.加劇
intent,a.專心的，渴望的；n.目的，意向
intentional,a.存心的，故意的
inter,v.埋葬
interaction,n.相互作用(影響)
intercede,v.說好話，代為求情
intercept,v.中途攔截，截取
intercessor,n.仲裁者
interchangeable,a.可互換的
interdict,v.禁止；切斷(補給線)
interference,n.干涉，妨礙
interim,n.中間時期，過渡時期；a.暫時的
interjection,n.插入語；感嘆詞
interlock,v.連鎖，連串
interlocking,a.連鎖的
interlude,n.(活動間的)暫時休息
intermediary,n.仲裁者；中間物；a.中間的，媒介的
interminable,a.無盡頭的
intermingle,v.混合，摻雜
intermission,n.暫停，間歇
intermittent,a.斷斷續續的，間歇的
intern,v.拘禁，軟禁；n.實習生
internecine,a.內訌的，兩敗俱傷的
interplay,v./n.相互影響
interpolate,v.插入；篡改
interpose,v.置於…之間；使介入
interregnum,n.無王時期
interrogate,v.審問，審訊
interrogative,a.疑問的
interrupt,v.暫時中止；打斷，打擾
intersect,v.橫截，橫斷
intersperse,v.散布；點綴
intertwine,v.糾纏，纏，繞
intervene,v.干涉，介入
intimate,a.親密的；n.密友；v.暗示
intimidate,v.恐嚇；脅迫
intoxicate,v.(使)沈醉，(使)欣喜若狂；(使)喝醉
intractable,a.倔強的；難管的
intransigent,a.不妥協的
intrepid,a.無畏的，剛毅的
intricacy,n.錯綜，複雜，紛亂
intricate,a.複雜難懂的
intrigue,v.密謀；引起…極大興趣
introspective,a.自省的
intrude,v.把(思想等)強加於，闖入
intuition,n.直覺
intuitive,a.直覺的
inundate,v.淹沒；泛濫
inured,a.習慣的
invade,v.侵犯，侵入
invective,n.猛烈抨擊，痛罵
inveigh,v.痛罵，抨擊
inveigle,v.誘騙，誘使
inventory,n.詳細目錄；存貨清單
inverse,a.相反的；倒轉的
invert,v.上下倒置
invertebrate,adj./n.無脊椎的(動物)
investigate,v.調查
inveterate,a.積習已深的
invidious,a.惹人反感的，導致傷害和仇恨的，招人嫉妒的
invigorate,v.鼓舞，激勵
invigorating,a.使人有精神的，使人健壯的
inviolable,a.不可侵犯的；不可褻瀆的
invoke,v.祈求；懇求；(法律的)實施生效
involuntary,a.無意的
invulnerable,a.無法傷害的
iodine,n.碘；碘酒
iota,n.極小量，極少
irascible,a.易發怒的
irate,a.發怒的
ire,n.憤怒；v.激怒
iridescent,a.閃彩光的，現暈光的
irk,v.使苦惱的，厭煩
irksome,a.令人苦惱的，討厭的
ironclad,a.裝鐵甲的；堅固的
ironic,a.挖苦的；出乎意料的
irony,n.反話
irradicable,a.不能根除的
irreconcilable,a.不能協調的，矛盾的
irredeemable,a.無法輓回的
irreducible,a.不能約的
irremediable,a.無法治癒的，無法糾正的
irrepressible,a.無法約束或阻止的
irrevocable,a.無法取消的
irrigate,v.灌溉
irritable,a.易怒的；易受刺激的
irritate,v.激怒；刺激
irritation,n.憤怒，急躁，刺激
isolate,v.孤立；將…從其種群中隔離
isotope,n.同位素
issue,v.出來，流出；發給，分發；n.(書刊的)期
isthmus,n.地峽
itinerant,a.巡回的，流動的
itinerary,n.行程表；旅行路線
ivory,n.象牙，長牙
jabber,v.快而不清楚地說
jade,n.疲憊的老馬；玉，翡翠
jaded,a.疲憊的；厭倦的；(膠卷)暴光過分的
jagged,a.鋸齒狀的，不整齊的
jamb,n.門窗的側柱
jar,v.衝突，抵觸；震驚；發刺耳聲
jargon,n.暗語；行話
jarring,a.聲音刺耳的
jaundice,n.偏見；黃疸
jaundiced,a.有偏見的
jaunt,n./v.短程旅遊
jaunty,a.愉快的，滿足的
jazz,n.爵士樂；喧鬧
jealousy,n.猜忌，嫉妒
jeer,v.嘲笑
jejune,a.空洞的；不成熟的
jerk,n./v.突然猛拉
jeopardize,v.危及，危害
jeopardy,n.危險
jest,v./n.說笑，玩笑
jettison,v.(船)向外拋棄東西；n.拋棄的貨物
jibe,v.與…一致，符合
jigsaw,n.拼圖遊戲
jingoism,n.沙文主義；侵略主義
jockey,n.騎師；v.用計謀獲取
jocular,a.滑稽的，詼諧的；嬉戲的
jocund,a.快樂的，高興的
jog,v.慢而平靜地前進
jolt,v.顛簸著移動；n.震動，搖晃
jot,v.摘要記錄
jovial,a.愉快的
jubilation,n.歡快，歡慶
judicial,a.法庭的，法官的
judicious,a.有判斷力的；明智的
judiciousness,n.明智
juggernaut,n.摧毀一切的強大力量
jumble,v.混雜，摻雜；n.混雜，摻雜
junction,n.交叉路口；連接
jurisdiction,n.司法權，審判權，裁判權
justifiable,a.有理由的，無可非議的
justification,n.正當理由，好的（正義的）原因；辨護
justify,v.證明…是正當的
juvenile,a.少年的，似少年的
juxtapose,v.並排，並置
kaleidoscope,n.萬花筒；產生有趣的對稱效果
kangaroo,n.袋鼠
ken,n.視野範圍；知識範圍
kennel,n.狗捨，狗窩
kernel,n.果仁；核心
kidnap,v.誘拐，綁架，勒贖
kidney,n.腎
killjoy,n.令人掃興的人
kin,n.親屬
kindle,v.著火，點燃
kindred,a.同類的，種族的
kinetic,a.運動的
knack,n.特殊能力；竅門
knave,n.流氓，惡棍
knead,v.揉制，捏制
knit,v.編織
knotty,a.有節疤的
know-how,n.專業技能，知識
kudos,n.榮譽
labile,a.不穩定的
labored,a.吃力的；(文體等)不自然的
labyrinth,n.迷宮
lace,n.鞋帶，系帶；網眼花邊，透孔織品
lacerate,v.撕裂；深深傷害
lachrymose,a.好流淚的；引人落淚的
lackadaisical,a.無精打采的；無興趣的
lackluster,a.無光澤的；呆滯的
laconic,a.簡潔的
lactic,a.乳汁的
lag,v.落後，滯留
lair,n.野獸的巢穴；躲藏處
laity,n.俗信徒，俗人階級；外行
lambaste,v.痛打；痛罵
lament,v./n.悲傷；哀悼
lampoon,n.諷刺文章；v.諷刺
lance,n.長矛；魚叉
lancet,n.手術刀
landfill,n.垃圾堆
landlocked,a.被陸地包圍的
landmark,n.陸標；里程碑
landslide,n.山崩；壓倒性勝利
languid,a.沒精打採的，倦怠的
languish,v.變得消瘦；衰弱
languor,n.身心疲憊
lank,a.瘦削的；長而軟的
lap,v.舔食；潑濺
lapse,n.失誤；(時間等)流逝
larder,n.食品室
largess,n.贈送，賞賜；贈品；賀禮
largesse,n.慷慨援助；施捨
lark,n./v.玩樂，嬉耍
larva,n.(昆蟲的)幼蟲
lash,n.鞭子；v.鞭打；捆住
lassitude,n.無力；沒精打採
lasso,n.套索(捕捉牛、馬用)
lasting,a.持久的，永久的
latency,n.潛伏期
latent,a.潛伏的
lateral,a.側面的
lathe,n.車床
latitude,n.言行自由；緯度
lattice,n.(做籬笆或爬藤架等的)格子架
laud,v.稱贊
lava,n.熔岩
lave,v.洗浴；慢慢衝刷
lavish,a.浪費的；豐富的
laxative,a.(藥)通便的；放鬆的；n.輕瀉藥
leak,v.洩漏；n.洩漏；漏出量，漏洞
leakage,n.滲漏，漏出
lease,n.租約；租期；v.出租
leaven,n.發酵劑；影響力；v.發酵；影響
lectern,n.教堂里的讀經台
ledger,n.賬簿
leer,v.斜眼看，送秋波
leery,a.機警的，懷疑的
legacy,n.遺產；遺留之物
legend,n.地圖里的說明文字或圖例
legerdemain,n.手法；戲法
legion,n.兵團；一大群
legislate,v.制定法律
legislation,n.法律，法規，立法
legislature,n.立法機關，立法團體
legitimate,a.合法的；正當的
leisureliness,n.悠然，從容
leniency,n.溫和，寬容
lenient,a.寬大的；仁慈的
lethal,a.致命的
lethargic,a.昏睡的
lethargy,n.昏睡；倦怠；呆滯懶散
levee,n.防洪堤；堤岸
levelheaded,a.頭腦冷靜的，穩健的
lever,n.槓桿；v.撬動
levity,n.輕率；輕浮
levy,v./n.徵稅；徵兵
lexicographer,n.詞典編纂人
liability,n.責任；債務
liaison,n.聯繫；曖昧關係
libel,v./n.(文字)誹謗，中傷
liberality,n.慷慨；心胸開闊
liberate,v.釋放，解放
libertine,n.性行為放縱者，浪蕩的人
liberty,n.隨意，冒失
libretto,n.(歌劇等)歌詞；劇本
license,n.放肆，自由；許可證，執照
licentious,a.縱慾的；放肆的
lien,n.扣押權；留置權
ligneous,a.木質的，木頭的
liken,v.把…比作…
limb,n.肢(手或腳)，翼
limber,a.易彎曲的；敏捷的
limerick,n.五行打油詩
limestone,n.石灰岩
limited,a.有限的
limn,v.描寫；畫
limousine,n.大型轎車，大客車
limp,v.跛行；a.軟弱的，鬆軟的
limpid,a.清澈的；透明的
lineage,n.宗系，血統
linear,a.線的；成直線的
linen,n.亞麻織品，亞麻布
linger,v.逗留，留戀
linguistic,a.語言的
linguistics,n.語言學
linoleum,n.油氈
lint,n.繃帶用麻布，皮棉
lionize,v.崇拜，看重
liquefy,v.(使)液化，(使)溶解
liquid,a.清澈的
liquidate,v.清算；清償
lissome,a.姿態優雅的，柔軟的
list,v./n.傾斜
listless,a.無精打采的
literal,a.字面上的；忠實原義的；精確的
literate,a.有讀寫能力的；有文化修養的
literati,n.文人；學者(複數)
lithe,a.柔軟的，易彎曲的；敏捷的，輕快的
litigant,n.訴訟當事人
litigation,n.訴訟
litter,n.垃圾；一窩(動物)
loaf,n.一條(麵包)；v.虛度光陰
loath,a.不情願的，勉強的
loathe,v.憎恨，厭惡
lobby,n.大廳，休息廳
lobe,n.耳垂；(肺、肝等的)葉
locale,n.事件發生的現場、地點
locomotion,n.運動，移動
locomotive,a.移動的；n.機車，火車頭
locus,n.地點，所在地
lode,n.礦脈
lofty,a.崇高的，高尚的
log,n./v.日誌，記錄；n.一段大木頭；圓木
logistics,n.後勤學；後勤
loll,v.懶洋洋地坐或臥
longevity,n.長壽
longing,n.渴望
long-winded,a.冗長的
loom,n.織布機；v.(威脅性)隱約出現
loon,n.愚人；瘋子
loop,n.圈，金屬線圈
loophole,n.槍眼，小窗，換氣孔
loosen,v.變松，松開
lope,n.輕快的步伐；v.使大步慢跑；跳躍
lopsided,a.傾向一方的，不平衡的
loquacious,a.多嘴的，饒舌的
lot,n.簽；命運；v.抽籤，劃分
lottery,n.彩票，抽彩給獎法
lounge,v.懶散地斜靠；n.休息室
loutish,a.粗魯的
low,v.牛叫
loyal,a.忠誠的，忠貞的，忠心的
lubricant,n.潤滑劑
lubricate,v.潤滑
lucid,a.表達清楚的，明白易懂的
lucrative,a.賺錢的，有利可圖的
ludicrous,a.荒唐可笑的
lug,v./n.拖，拉
lukewarm,a.微溫的，不熱心的
lull,n.活動的暫停；v.使平靜
lullaby,n.搖籃曲
lumber,v.蹣跚而行，笨拙地走；n.雜物；木材
lumberjack,n.伐木工
lumen,n.流明(光通量單位)
luminary,n.傑出人物，名人
lump,n.一塊，腫塊；v.形成塊狀
lunar,a.月亮的
lunatic,n.瘋子；a.極蠢的
lurch,n.突然向前或旁邊倒；v.蹣跚而行
lurid,a.耀眼的；駭人聽聞的
lurk,v.潛伏，埋伏
lush,a.繁茂的，茂盛的
lust,n.強烈的慾望
lustrous,a.有光澤的
luxuriant,a.繁茂的；肥沃的
luxurious,a.奢侈的，豪華的
luxury,n.奢侈(品)
lyric,a.抒情的；n.抒情詩；歌詞
macabre,a.駭人的，可怖的
macerate,v.浸軟；消瘦
machination,n.陰謀
maculated,a.有斑點的
madrigal,n.抒情短詩，情歌，合唱曲
maelstrom,n.大漩渦；大混亂
magenta,n./a.紫紅色(的)；n.紫紅色的染料
magisterial,a.有權威的；威風的
magnanimity,n.慷慨
magnanimous,a.寬宏大量的，慷慨的
magnate,n.財主，巨頭
magnificent,a.壯麗的，宏偉的；高尚的
magnify,v.放大；贊美
magnitude,n.重要；星球的光亮度
magpie,n.鵲；饒舌的人
maintenance,n.維持，維護
maize,n.玉米
majestic,a.雄偉的，莊嚴的
maladroit,a.笨拙的
malaise,n.不適，不舒服
malapropism,n.字的誤用
malcontent,a.不滿的；n.不滿分子，反抗者
malevolent,a.有惡意的，惡毒的
malfeasance,n.不法行為，瀆職
malfunction,v.發生故障；n.故障，障礙
malicious,a.惡意的，怨毒的
malign,v.誹謗，中傷；a.邪惡的
malinger,v.裝病以逃避工作
malleable,a.可塑的，易改變的
malpractice,n.玩忽職守，瀆職
mammal,n.哺乳動物
mammoth,a.巨大的
mandate,n.命令，指令
mandatory,a.命令的，強迫的
mangle,v.毀損；撕成碎片，壓碎
mania,n.癲狂；狂熱
manifest,a.顯然的
manifestation,n.表明，顯示
manifesto,n.宣言，聲明
manifold,a.繁多的；多種的
manipulate,v.操縱
manipulative,a.操縱別人的，老於世故的
mannered,a.做作的
mansion,n.公館；大廈
mantle,n.披風，鬥篷；v.覆蓋
manumit,v.解放(奴隸)
manure,n.糞肥；v.給…施肥
manuscript,n.手稿；手抄本
maple,n.楓樹(楓樹是加拿大的國樹)
mar,v.破壞，損傷
marble,n.大理石
mare,n.母馬，母驢
margarine,n.人造黃油
margin,n.頁邊空白，邊緣；差額；餘地；利潤
marginal,a.書頁空白處的；不重要的
marine,a.海的；海中的
marionette,n.木偶
marital,a.婚姻的
maritime,a.沿海的；海上的
marked,a.明顯的；被監視的
maroon,n./a.栗色(的)
marred,a.受傷的；毀壞變形的
marsh,n.沼澤地，濕地
marshal,v.整理，安排，設置
marsupial,n./a.有袋動物(的)
martial,a.戰爭的，軍事的
martyr,n.烈士，殉道者
marvel,v.對…感到驚異；n.奇跡
mash,v.搗成糊狀
mask,n.假面具；v.隱藏(感情)
mason,n.泥瓦匠，石匠
masquerade,n.化裝舞會；v.偽裝
massacre,n.大屠殺
massive,a.巨大的，厚重的
mast,n.船桅，旗桿
masticate,v.咀嚼；把…磨成漿
mate,n.夥伴；配偶；v.交配
materialize,v.賦予形體，使具體化；實現
maternal,a.母性的
matrix,n.模子；矩陣
mattress,n.床墊
mature,a.成熟的；深思熟慮的
maturity,n.成熟，完備
maudlin,a.感情脆弱的，愛哭的
maul,v.撕裂皮肉，傷害
mauve,a.淡紫色的
maven,n.專家，內行
maverick,n.想法與眾不同的人
mawkish,a.自作多情的；淡而無味的，令人作嘔的
maximize,v.使增至最大限度
maze,n.迷宮
meager,a.貧乏的；削瘦的
mean,a.卑賤的，吝嗇的
meander,v.蜿蜒而流；漫步
measly,a.患麻疹的；小得可憐的
measured,a.精確的；慎重的
mechanical,a.機械的，機械製造的；機械似的，呆板的，體力的
mechanics,n.力學
mechanism,n.結構，機制
medal,n.獎牌，勳章
meddle,v.干涉，干預
meddlesome,a.愛管閒事的
mediate,v.調停
medieval,a.中世紀的，中古的
mediocre,a.平庸的，平凡的
mediocrity,n.平庸，碌碌無為
meditate,v.沈思，反省
meditation,n.沈思，冥想
meditative,a.沈思的，善于思考的
medium,n.媒介；(細菌等的)生存環境
medley,n.混合歌曲；混雜；各種各樣的集團
meek,a.溫順的，順服的
meet,a.合適的
melancholy,a.憂鬱的；令人悲傷的
meld,v.(使)混合，(使)合併
mellifluous,a.(音樂等)柔美流暢的
melodrama,n.情節劇；音樂戲劇
melody,n.旋律；歌曲
melon,n.甜瓜
membrane,n.薄膜；細胞膜
memoir,n.回憶錄，自傳；記事錄
memorial,n.紀念碑，紀念物；a.紀念的，悼念的
menace,v./n.威脅，危險
mend,v.修改，改進
mendacious,a.不真的；撒謊的
mendacity,n.虛假
mendicant,a.行乞的；n.乞丐
menthol,n.薄荷醇
mentor,n.導師
mercantile,a.貿易的，商業的
mercenary,a.惟利是圖的；n.雇傭兵
mercurial,a.善變的；活潑的
meretricious,a.華而不實的，俗艷的
merit,v.值得
merited,a.該得的，理所當然的
meritorious,a.值得贊賞的
mesa,n.高台地，平頂山
mesh,v.用網捕捉；齒合
metabolism,n.新陳代謝
metamorphose,v.變形
metaphor,n.隱喻，暗喻
metaphysical,a.形而上學的，玄學的
metaphysics,n.形而上學，玄學
mete,v.給予，分配；測量；n.邊界
meteoric,a.流星的；曇花一現的
meteorology,n.氣象學
methodical,a.細心的，有條不紊的
meticulous,a.細心的，一絲不苟的
metrical,a.測量的；韻律的
metropolis,n.大城市
metropolitan,a.大都市的，首都的
mettle,n.勇氣，鬥志
mettlesome,a.精神抖擻的
microbe,n.微生物
microorganism,n.微生物，細菌
microscope,n.顯微鏡
microscopic,a.極小的；顯微鏡的
miff,n.小爭吵
mighty,a.強有力的，強大的
migratory,a.遷移的，流浪的
milestone,n.里程碑；轉折點
militia,n.民兵
milk,v.榨取
mill,n.磨坊；壓榨機；製造廠
mime,n.啞劇表演；啞劇(演員)
mimic,v.模仿，戲弄；n.模仿他人言行的人
minaret,n.清真寺的尖塔
minatory,a.威脅的，恫嚇的
mince,v.切碎；小步走路
mingle,v.混合
miniature,n.小畫像；縮影
minimize,v.把…減至最低數量或程度
minion,n.奴才，低下之人
minnow,n.鰷魚，小淡水魚
mint,n.大量；巨額
minuet,n.小步舞
minuscule,a.極小的
minutes,n.會議記錄
minutia,n.細枝末節，細節
miracle,n.奇事，奇跡
mirage,n.幻影，海市蜃樓
mire,n.泥沼；困境；v.使…陷入困境
mirth,n.歡樂，歡笑
misanthrope,n.憤世嫉俗者
mischievous,a.淘氣的；有害處的
miscreant,n.惡棍，歹徒
miser,n.守財奴，吝嗇鬼
miserly,a.吝嗇的，貪婪的
misgiving,n.擔心，疑慮
misinform,v.向…提供錯誤信息
misnomer,n.名字的誤用
misperceive,v.誤解
misrepresent,v.誤傳，歪曲
misrepresentation,n.歪曲
misshapen,a.畸形的，奇形怪狀的
missile,n.發射物；導彈
mite,n.極小量；小蟲
mitigate,v.減輕，緩和
mitten,n.(四指套在一起拇指分開的)連指手套
mnemonics,n.記憶法，記憶規則
moan,v./n.(痛苦地/的)呻吟；(不滿地/的)抱怨
moat,n.壕溝；護城河
mobile,a.易於移動的
mobility,n.可動性，流動性
mock,v.嘲笑；模仿地嘲弄
mode,n.樣式，時尚；模式
modest,a.謙虛的，謹慎的；適度的
modicum,n.少量
modify,v.修改，變更
modish,a.時髦的
modulate,v.調整(音的強弱)
mogul,n.顯要人物，權勢之人
molar,n.臼齒
mold,n.模子；(美)霉；v.塑造
molding,n.裝飾線條；鑄造物
moldy,a.發霉的
molecule,n.分子
mollify,v.安慰，安撫
mollycoddle,v.過分愛惜，嬌慣；n.嬌生慣養的人
molt,v.換羽，脫毛；n.換羽(期)，脫毛(期)
